,Reaction,Dataset,Reference,Stoichiometry
6350,S66_1,S66,-0.0079405004983292,"1,4113_01WaterWater_dim_S66,-1,4113_01WaterWater_monA_S66,-1,4113_01WaterWater_monB_S66"
6351,S66_2,S66,-0.0090308499616529,"1,4114_02WaterMeOH_dim_S66,-1,4114_02WaterMeOH_monA_S66,-1,4114_02WaterMeOH_monB_S66"
6352,S66_3,S66,-0.0111310934041614,"1,4115_03WaterMeNH2_dim_S66,-1,4115_03WaterMeNH2_monA_S66,-1,4115_03WaterMeNH2_monB_S66"
6353,S66_4,S66,-0.0130727933194624,"1,4116_04WaterPeptide_dim_S66,-1,4116_04WaterPeptide_monA_S66,-1,4116_04WaterPeptide_monB_S66"
6354,S66_5,S66,-0.0092710728771137,"1,4117_05MeOHMeOH_dim_S66,-1,4117_05MeOHMeOH_monA_S66,-1,4117_05MeOHMeOH_monB_S66"
6355,S66_6,S66,-0.0121145849236267,"1,4118_06MeOHMeNH2_dim_S66,-1,4118_06MeOHMeNH2_monA_S66,-1,4118_06MeOHMeNH2_monB_S66"
6356,S66_7,S66,-0.0132536936956799,"1,4119_07MeOHPeptide_dim_S66,-1,4119_07MeOHPeptide_monA_S66,-1,4119_07MeOHPeptide_monB_S66"
6357,S66_8,S66,-0.0080632119028418,"1,4120_08MeOHWater_dim_S66,-1,4120_08MeOHWater_monA_S66,-1,4120_08MeOHWater_monB_S66"
6358,S66_9,S66,-0.0049041601484659,"1,4121_09MeNH2MeOH_dim_S66,-1,4121_09MeNH2MeOH_monA_S66,-1,4121_09MeNH2MeOH_monB_S66"
6359,S66_10,S66,-0.0066441914199811,"1,4122_10MeNH2MeNH2_dim_S66,-1,4122_10MeNH2MeNH2_monA_S66,-1,4122_10MeNH2MeNH2_monB_S66"
6360,S66_11,S66,-0.0086675441053313,"1,4123_11MeNH2Peptide_dim_S66,-1,4123_11MeNH2Peptide_monA_S66,-1,4123_11MeNH2Peptide_monB_S66"
6361,S66_12,S66,-0.0117089753998219,"1,4124_12MeNH2Water_dim_S66,-1,4124_12MeNH2Water_monA_S66,-1,4124_12MeNH2Water_monB_S66"
6362,S66_13,S66,-0.009958505358609,"1,4125_13PeptideMeOH_dim_S66,-1,4125_13PeptideMeOH_monA_S66,-1,4125_13PeptideMeOH_monB_S66"
6363,S66_14,S66,-0.0119573676256905,"1,4126_14PeptideMeNH2_dim_S66,-1,4126_14PeptideMeNH2_monA_S66,-1,4126_14PeptideMeNH2_monB_S66"
6364,S66_15,S66,-0.0138541470243687,"1,4127_15PeptidePeptide_dim_S66,-1,4127_15PeptidePeptide_monA_S66,-1,4127_15PeptidePeptide_monB_S66"
6365,S66_16,S66,-0.0082431839166806,"1,4128_16PeptideWater_dim_S66,-1,4128_16PeptideWater_monA_S66,-1,4128_16PeptideWater_monB_S66"
6366,S66_17,S66,-0.0278775821757271,"1,4129_17UracilUracilBP_dim_S66,-1,4129_17UracilUracilBP_monA_S66,-1,4129_17UracilUracilBP_monB_S66"
6367,S66_18,S66,-0.011038000647397,"1,4130_18WaterPyridine_dim_S66,-1,4130_18WaterPyridine_monA_S66,-1,4130_18WaterPyridine_monB_S66"
6368,S66_19,S66,-0.0118872464320563,"1,4131_19MeOHPyridine_dim_S66,-1,4131_19MeOHPyridine_monA_S66,-1,4131_19MeOHPyridine_monB_S66"
6369,S66_20,S66,-0.0309768062500947,"1,4132_20AcOHAcOH_dim_S66,-1,4132_20AcOHAcOH_monA_S66,-1,4132_20AcOHAcOH_monB_S66"
6370,S66_21,S66,-0.0263109527591584,"1,4133_21AcNH2AcNH2_dim_S66,-1,4133_21AcNH2AcNH2_monA_S66,-1,4133_21AcNH2AcNH2_monB_S66"
6371,S66_22,S66,-0.0316071121876125,"1,4134_22AcOHUracil_dim_S66,-1,4134_22AcOHUracil_monA_S66,-1,4134_22AcOHUracil_monB_S66"
6372,S66_23,S66,-0.0310880649343081,"1,4135_23AcNH2Uracil_dim_S66,-1,4135_23AcNH2Uracil_monA_S66,-1,4135_23AcNH2Uracil_monB_S66"
6373,S66_24,S66,-0.0044160828908047,"1,4136_24BenzeneBenzenepipi_dim_S66,-1,4136_24BenzeneBenzenepipi_monA_S66,-1,4136_24BenzeneBenzenepipi_monB_S66"
6374,S66_25,S66,-0.0061496874020509,"1,4137_25PyridinePyridinepipi_dim_S66,-1,4137_25PyridinePyridinepipi_monA_S66,-1,4137_25PyridinePyridinepipi_monB_S66"
6375,S66_26,S66,-0.01566067276502,"1,4138_26UracilUracilpipi_dim_S66,-1,4138_26UracilUracilpipi_monA_S66,-1,4138_26UracilUracilpipi_monB_S66"
6376,S66_27,S66,-0.0054217209359476,"1,4139_27BenzenePyridinepipi_dim_S66,-1,4139_27BenzenePyridinepipi_monA_S66,-1,4139_27BenzenePyridinepipi_monB_S66"
6377,S66_28,S66,-0.0090239845999501,"1,4140_28BenzeneUracilpipi_dim_S66,-1,4140_28BenzeneUracilpipi_monA_S66,-1,4140_28BenzeneUracilpipi_monB_S66"
6378,S66_29,S66,-0.0108102312502613,"1,4141_29PyridineUracilpipi_dim_S66,-1,4141_29PyridineUracilpipi_monA_S66,-1,4141_29PyridineUracilpipi_monB_S66"
6379,S66_30,S66,-0.0021612813101164,"1,4142_30BenzeneEthene_dim_S66,-1,4142_30BenzeneEthene_monA_S66,-1,4142_30BenzeneEthene_monB_S66"
6380,S66_31,S66,-0.0052968662613254,"1,4143_31UracilEthene_dim_S66,-1,4143_31UracilEthene_monA_S66,-1,4143_31UracilEthene_monB_S66"
6381,S66_32,S66,-0.0059020604682857,"1,4144_32UracilEthyne_dim_S66,-1,4144_32UracilEthyne_monA_S66,-1,4144_32UracilEthyne_monB_S66"
6382,S66_33,S66,-0.0028682104866009,"1,4145_33PyridineEthene_dim_S66,-1,4145_33PyridineEthene_monA_S66,-1,4145_33PyridineEthene_monB_S66"
6383,S66_34,S66,-0.0059080355396476,"1,4146_34PentanePentane_dim_S66,-1,4146_34PentanePentane_monA_S66,-1,4146_34PentanePentane_monB_S66"
6384,S66_35,S66,-0.0041062579483448,"1,4147_35NeopentanePentane_dim_S66,-1,4147_35NeopentanePentane_monA_S66,-1,4147_35NeopentanePentane_monB_S66"
6385,S66_36,S66,-0.0027742954900537,"1,4148_36NeopentaneNeopentane_dim_S66,-1,4148_36NeopentaneNeopentane_monA_S66,-1,4148_36NeopentaneNeopentane_monB_S66"
6386,S66_37,S66,-0.0037759725847667,"1,4149_37CyclopentaneNeopentane_dim_S66,-1,4149_37CyclopentaneNeopentane_monA_S66,-1,4149_37CyclopentaneNeopentane_monB_S66"
6387,S66_38,S66,-0.0046827449468603,"1,4150_38CyclopentaneCyclopentane_dim_S66,-1,4150_38CyclopentaneCyclopentane_monA_S66,-1,4150_38CyclopentaneCyclopentane_monB_S66"
6388,S66_39,S66,-0.0056045083650311,"1,4151_39BenzeneCyclopentane_dim_S66,-1,4151_39BenzeneCyclopentane_monA_S66,-1,4151_39BenzeneCyclopentane_monB_S66"
6389,S66_40,S66,-0.0045201057978531,"1,4152_40BenzeneNeopentane_dim_S66,-1,4152_40BenzeneNeopentane_monA_S66,-1,4152_40BenzeneNeopentane_monB_S66"
6390,S66_41,S66,-0.0076667424589262,"1,4153_41UracilPentane_dim_S66,-1,4153_41UracilPentane_monA_S66,-1,4153_41UracilPentane_monB_S66"
6391,S66_42,S66,-0.0065095254006136,"1,4154_42UracilCyclopentane_dim_S66,-1,4154_42UracilCyclopentane_monA_S66,-1,4154_42UracilCyclopentane_monB_S66"
6392,S66_43,S66,-0.0058485160876335,"1,4155_43UracilNeopentane_dim_S66,-1,4155_43UracilNeopentane_monA_S66,-1,4155_43UracilNeopentane_monB_S66"
6393,S66_44,S66,-0.0031259042963777,"1,4156_44EthenePentane_dim_S66,-1,4156_44EthenePentane_monA_S66,-1,4156_44EthenePentane_monB_S66"
6394,S66_45,S66,-0.0026997583913503,"1,4157_45EthynePentane_dim_S66,-1,4157_45EthynePentane_monA_S66,-1,4157_45EthynePentane_monB_S66"
6395,S66_46,S66,-0.0067241865601054,"1,4158_46PeptidePentane_dim_S66,-1,4158_46PeptidePentane_monA_S66,-1,4158_46PeptidePentane_monB_S66"
6396,S66_47,S66,-0.0044916527155215,"1,4159_47BenzeneBenzeneTS_dim_S66,-1,4159_47BenzeneBenzeneTS_monA_S66,-1,4159_47BenzeneBenzeneTS_monB_S66"
6397,S66_48,S66,-0.0055593284438994,"1,4160_48PyridinePyridineTS_dim_S66,-1,4160_48PyridinePyridineTS_monA_S66,-1,4160_48PyridinePyridineTS_monB_S66"
6398,S66_49,S66,-0.0052238293696542,"1,4161_49BenzenePyridineTS_dim_S66,-1,4161_49BenzenePyridineTS_monA_S66,-1,4161_49BenzenePyridineTS_monB_S66"
6399,S66_50,S66,-0.004540698678831,"1,4162_50BenzeneEthyneCHpi_dim_S66,-1,4162_50BenzeneEthyneCHpi_monA_S66,-1,4162_50BenzeneEthyneCHpi_monB_S66"
6400,S66_51,S66,-0.0024336784472867,"1,4163_51EthyneEthyneTS_dim_S66,-1,4163_51EthyneEthyneTS_monA_S66,-1,4163_51EthyneEthyneTS_monB_S66"
6401,S66_52,S66,-0.007468498553458,"1,4164_52BenzeneAcOHOHpi_dim_S66,-1,4164_52BenzeneAcOHOHpi_monA_S66,-1,4164_52BenzeneAcOHOHpi_monB_S66"
6402,S66_53,S66,-0.0069660917837934,"1,4165_53BenzeneAcNH2NHpi_dim_S66,-1,4165_53BenzeneAcNH2NHpi_monA_S66,-1,4165_53BenzeneAcNH2NHpi_monB_S66"
6403,S66_54,S66,-0.0052071422389597,"1,4166_54BenzeneWaterOHpi_dim_S66,-1,4166_54BenzeneWaterOHpi_monA_S66,-1,4166_54BenzeneWaterOHpi_monB_S66"
6404,S66_55,S66,-0.0066063778048341,"1,4167_55BenzeneMeOHOHpi_dim_S66,-1,4167_55BenzeneMeOHOHpi_monA_S66,-1,4167_55BenzeneMeOHOHpi_monB_S66"
6405,S66_56,S66,-0.0050689520972175,"1,4168_56BenzeneMeNH2NHpi_dim_S66,-1,4168_56BenzeneMeNH2NHpi_monA_S66,-1,4168_56BenzeneMeNH2NHpi_monB_S66"
6406,S66_57,S66,-0.0083664770037046,"1,4169_57BenzenePeptideNHpi_dim_S66,-1,4169_57BenzenePeptideNHpi_monA_S66,-1,4169_57BenzenePeptideNHpi_monB_S66"
6407,S66_58,S66,-0.0066924296654064,"1,4170_58PyridinePyridineCHN_dim_S66,-1,4170_58PyridinePyridineCHN_monA_S66,-1,4170_58PyridinePyridineCHN_monB_S66"
6408,S66_59,S66,-0.0046398904179046,"1,4171_59EthyneWaterCHO_dim_S66,-1,4171_59EthyneWaterCHO_monA_S66,-1,4171_59EthyneWaterCHO_monB_S66"
6409,S66_60,S66,-0.0078824844488004,"1,4172_60EthyneAcOHOHpi_dim_S66,-1,4172_60EthyneAcOHOHpi_monA_S66,-1,4172_60EthyneAcOHOHpi_monB_S66"
6410,S66_61,S66,-0.0045734047262579,"1,4173_61PentaneAcOH_dim_S66,-1,4173_61PentaneAcOH_monA_S66,-1,4173_61PentaneAcOH_monB_S66"
6411,S66_62,S66,-0.0055650288520514,"1,4174_62PentaneAcNH2_dim_S66,-1,4174_62PentaneAcNH2_monA_S66,-1,4174_62PentaneAcNH2_monB_S66"
6412,S66_63,S66,-0.005930655164219,"1,4175_63BenzeneAcOH_dim_S66,-1,4175_63BenzeneAcOH_monA_S66,-1,4175_63BenzeneAcOH_monB_S66"
6413,S66_64,S66,-0.0047416495802953,"1,4176_64PeptideEthene_dim_S66,-1,4176_64PeptideEthene_monA_S66,-1,4176_64PeptideEthene_monB_S66"
6414,S66_65,S66,-0.0064947643812662,"1,4177_65PyridineEthyne_dim_S66,-1,4177_65PyridineEthyne_monA_S66,-1,4177_65PyridineEthyne_monB_S66"
6415,S66_66,S66,-0.0062667539450593,"1,4178_66MeNH2Pyridine_dim_S66,-1,4178_66MeNH2Pyridine_monA_S66,-1,4178_66MeNH2Pyridine_monB_S66"
