sysnames,cell_type,Exp_SE,PBE_SE
Li110,bcc,0.5235,0.496366328
Na110,bcc,0.2605,0.084361021
K110,bcc,0.1375,0.107972407
Rb110,bcc,0.1135,0.081340637
Ba110,bcc,0.375,0.311234845
Ca111,fcc,0.496,0.464198891
Sr111,fcc,0.4145,0.340236316
Nb110,bcc,2.6775,1.942428987
Ta110,bcc,3.026,2.284811633
Mo110,bcc,2.9535,2.696488852
W110,bcc,3.47,3.332021865
Al111,fcc,1.1515,0.7975661
Ni111,fcc,2.415,1.946460431
Cu111,fcc,1.8075,1.272773232
Rh111,fcc,2.6795,2.004083821
Pd111,fcc,2.0265,1.353477075
Ag111,fcc,1.248,0.721474149
Ir111,fcc,3.024,2.302923647
Pt111,fcc,2.482,1.473178959
Au111,fcc,1.503,0.712333377